date,update_time,gold_buy,gold_sell,gold_bar_buy,gold_bar_sell,timestamp,source_url
01/10/2568,16:56,59450.00,59550.00,58259.88,60350.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
02/10/2568,15:59,59300.00,59400.00,58108.28,60200.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
03/10/2568,15:20,59100.00,59200.00,57911.20,60000.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
04/10/2568,09:07,59350.00,59450.00,58168.92,60250.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
06/10/2568,17:08,60400.00,60500.00,59184.64,61300.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
07/10/2568,17:02,60850.00,60950.00,59639.44,61750.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
08/10/2568,17:02,62250.00,62350.00,61003.84,63150.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
09/10/2568,17:01,62200.00,62300.00,60958.36,63100.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
10/10/2568,17:17,61750.00,61850.00,60518.72,62650.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
11/10/2568,09:11,62000.00,62100.00,60761.28,62900.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
13/10/2568,16:58,62650.00,62750.00,61398.00,63550.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
14/10/2568,17:23,64050.00,64150.00,62762.40,64950.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
15/10/2568,17:23,64700.00,64800.00,63399.12,65600.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
16/10/2568,16:57,65200.00,65300.00,63899.40,66100.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
17/10/2568,16:25,67100.00,67200.00,65764.08,68000.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
18/10/2568,09:14,65900.00,66000.00,64581.60,66800.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
20/10/2568,17:25,65900.00,66000.00,64581.60,66800.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
21/10/2568,17:18,66150.00,66250.00,64824.16,67050.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
22/10/2568,17:17,63400.00,63500.00,62125.68,64300.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
23/10/2568,17:10,63850.00,63950.00,62580.48,64750.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
24/10/2568,16:57,63000.00,63100.00,61746.68,63900.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
25/10/2568,09:09,63600.00,63700.00,62322.76,64500.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
27/10/2568,17:02,62450.00,62550.00,61200.92,63350.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
28/10/2568,17:17,59800.00,59900.00,58608.56,60700.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
29/10/2568,16:50,61450.00,61550.00,60215.52,62350.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
30/10/2568,17:25,61050.00,61150.00,59836.52,61950.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
31/10/2568,16:59,61300.00,61400.00,60079.08,62200.00,2025-11-09 12:48:02,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-ตุลาคม-2568/
