feature,importance,importance_pct
cpi_roll7_mean,169.0205426171786,16.103107986733516
oil,155.20099151331448,14.786476763641653
fx_lag1,122.8566391908236,11.704930638270922
oil_roll7_mean,94.34290036679644,8.988338866176123
cpi,91.79933597062208,8.746005647334337
fx,74.24627674313908,7.073671599289696
fx_lag3,65.99408142084778,6.287459519119934
btc_pct_change,61.266613693361684,5.837059099497988
oil_lag1,59.883221021584816,5.7052590162848205
cpi_lag1,34.07610689140358,3.2465357201141494
cpi_lag3,28.105717155648794,2.677718290297347
oil_lag3,24.65167651520527,2.348641193736333
oil_pct_change,24.320574012578835,2.3170960379114143
fx_roll7_mean,19.38343194216592,1.8467192974593705
fx_pct_change,6.219868148893926,0.5925860070851732
set_pct_change,5.543462750125687,0.5281427801820106
gold_pct_change,4.990677653776904,0.47547724046638656
set_lag3,2.185187091121188,0.2081895085335277
set_roll7_mean,1.9706045208349154,0.18774556575660112
gold,1.0825141741651667,0.10313446149107103
set,0.8696872082881598,0.08285778055667929
set_lag1,0.7558694298217111,0.07201401003579909
cpi_pct_change,0.588901135614075,0.05610642607971145
gold_lag1,0.10346128718829883,0.009857075679925633
gold_roll7_mean,0.07669118226814198,0.007306605283425684
gold_lag3,0.0644472099185105,0.0061400843039062635
btc_lag1,0.004364305921253508,0.0004158008751413326
btc,0.004330367239494842,0.0004125674323371344
btc_lag3,0.00414384163307181,0.00039479656297408835
btc_roll7_mean,0.0020951752994039334,0.00019961380773610878
