date,MAcc_7d,MAcc_30d
2025-10-01,99.8380920519181,99.8380920519181
2025-10-02,99.82283293513521,99.82283293513521
2025-10-03,99.76925716143552,99.76925716143552
2025-10-04,99.75080428048096,99.75080428048096
2025-10-05,99.6979363293195,99.6979363293195
2025-10-06,99.67093924852686,99.67093924852686
2025-10-07,99.65836529548345,99.65836529548345
2025-10-08,99.65956946634083,99.68188478953799
2025-10-09,99.66355153599393,99.69894740246977
2025-10-10,99.64265687237925,99.68063695909612
2025-10-11,99.65216554206982,99.68803417421933
2025-10-12,99.71234443083662,99.70634105520448
2025-10-13,99.70010929213004,99.68664619508242
2025-10-14,99.67451550047409,99.66644039797877
2025-10-15,99.63841848893674,99.66160051592406
2025-10-16,99.56498581873923,99.64033920958765
2025-10-17,99.62899532773031,99.65937275794549
2025-10-18,99.59118116972563,99.65036911691622
2025-10-19,99.57844636291624,99.65922195804565
2025-10-20,99.61062920158135,99.66004024735705
2025-10-21,99.66990703726835,99.66759594440862
2025-10-22,99.6176680925503,99.64762201757789
2025-10-23,99.71204007709126,99.66216121274093
2025-10-24,99.60477167261135,99.6434474413897
2025-10-25,99.48817668225759,99.6049552352118
2025-10-26,99.45499578304289,99.60423798785261
2025-10-27,99.4950691474224,99.6172699621888
2025-10-28,99.49943956151976,99.62555684868641
2025-10-29,99.60308771375215,99.63687235803373
2025-10-30,99.46233833947288,99.61553587564505
2025-10-31,99.55890661296657,99.61723309440669
2025-11-01,99.72161864196717,99.61765151679316
2025-11-02,99.67437264651144,99.60410082418137
2025-11-03,99.64328430250478,99.60553539915692
2025-11-04,99.60661261182842,99.6090732799807
2025-11-05,99.57703247177041,99.616096339807
2025-11-06,99.65434198361689,99.61459710287619
2025-11-07,99.64641384821526,99.61416345017739
2025-11-08,99.6336975535028,99.61068558754523
2025-11-09,99.7028383362981,99.61814316576243
2025-11-10,99.73317002583755,99.62443644536938
2025-11-11,99.7212654404187,99.6111548488832
2025-11-12,99.70663879528365,99.61761989054284
2025-11-13,99.74891589569715,99.6319571950949
2025-11-14,99.74423049519739,99.63885291830488
2025-11-15,99.67625313246228,99.63664796074727
2025-11-16,99.69191414700688,99.63282422359364
2025-11-17,99.67998387491369,99.64515707657992
2025-11-18,99.74971719499156,99.65111804303409
2025-11-19,99.78346022648876,99.6579471296879
